country;zip;city;zeros
NO;1351;RUD;0
NO;1352;KOLSÅS;0
NO;1353;BÆRUMS VERK;0
NO;1354;BÆRUMS VERK;0
NO;1356;BEKKESTUA;0
NO;1357;BEKKESTUA;0
NO;1358;JAR;0
NO;1359;EIKSMARKA;0
NO;1360;FORNEBU;0
NO;1361;ØSTERÅS;0
NO;1362;HOSLE;0
NO;1363;HØVIK;0
NO;1364;FORNEBU;0
NO;1365;BLOMMENHOLM;0
NO;1366;LYSAKER;0
NO;1367;SNARØYA;0
NO;1368;STABEKK;0
NO;1369;STABEKK;0
NO;1371;ASKER;0
NO;1372;ASKER;0
NO;1373;ASKER;0
NO;1375;BILLINGSTAD;0
NO;1376;BILLINGSTAD;0
NO;1377;BILLINGSTAD;0
NO;1378;NESBRU;0
NO;1379;NESBRU;0
NO;1380;HEGGEDAL;0
NO;1381;VETTRE;0
NO;1383;ASKER;0
NO;1384;ASKER;0
NO;1385;ASKER;0
NO;1386;ASKER;0
NO;1387;ASKER;0
NO;1388;BORGEN;0
NO;1389;HEGGEDAL;0
NO;1390;VOLLEN;0
NO;1391;VOLLEN;0
NO;1392;VETTRE;0
NO;1393;VOLLEN;0
NO;1394;NESBRU;0
NO;1395;HVALSTAD;0
NO;1396;BILLINGSTAD;0
NO;1397;NESØYA;0
NO;1399;ASKER;0
NO;1400;SKI;0
NO;1401;SKI;0
NO;1402;SKI;0
NO;1403;LANGHUS;0
NO;1404;SIGGERUD;0
NO;1405;LANGHUS;0
NO;1406;SKI;0
NO;1407;VINTERBRO;0
NO;1408;KRÅKSTAD;0
NO;1409;SKOTBU;0
NO;1410;KOLBOTN;0
NO;1411;KOLBOTN;0
NO;1412;SOFIEMYR;0
NO;1413;TÅRNÅSEN;0
NO;1414;TROLLÅSEN;0
NO;1415;OPPEGÅRD;0
NO;1416;OPPEGÅRD;0
NO;1417;SOFIEMYR;0
NO;1418;KOLBOTN;0
NO;1419;OPPEGÅRD;0
NO;1420;SVARTSKOG;0
NO;1421;TROLLÅSEN;0
NO;1422;SIGGERUD;0
NO;1423;SKI;0
NO;1424;SKI;0
NO;1425;SKI;0
NO;1429;VINTERBRO;0
